id,track_name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num
1161836152,6078,27395072,0.0,54,30,3.5,4.0,4,1,37,5,1
1162087330,2331,35524608,0.0,197,168,4.0,4.0,4,1,38,5,1
1162719828,6146,7212032,0.0,0,0,0.0,0.0,4,4,38,0,2
1162783385,830,25586688,3.99,19,19,5.0,5.0,12,1,38,5,1
1162794046,1606,42916864,5.99,29,11,4.5,4.5,12,1,38,5,1
1162838832,4422,40674304,5.99,36,1,4.5,5.0,12,1,38,5,1
1162914044,2072,14125056,0.0,0,0,0.0,0.0,4,20,37,4,1
1163113876,5844,40116224,0.0,362,362,4.5,4.5,4,1,40,2,1
1163313156,5666,29697024,3.99,62,62,4.5,4.5,12,1,38,5,1
1163372874,5712,10967040,1.99,12,1,2.0,1.0,12,14,37,4,1
1163404732,2651,34557952,0.0,49,6,3.5,5.0,4,8,37,0,1
1163470174,3576,101600256,0.0,14,9,4.0,4.0,4,1,38,5,1
1163621234,1937,81882112,0.0,72,44,4.0,4.0,9,1,37,5,8
1163668736,3633,1327104,1.99,7,2,1.5,1.0,4,2,37,0,1
1163675628,6567,179085312,0.0,0,0,0.0,0.0,9,1,40,5,0
1163684161,4142,283760640,0.99,2,2,5.0,5.0,9,1,37,5,3
1163706727,395,23000064,0.99,0,0,0.0,0.0,4,8,37,2,9
1163777816,4766,47924224,0.0,1740,158,4.5,4.5,4,1,37,3,1
1163850915,999,26049536,0.0,34,9,2.5,2.5,9,20,37,4,1
1163925890,4558,32848896,0.0,60,14,4.5,4.5,17,1,37,0,1
1163963306,6386,42959872,0.0,0,0,0.0,0.0,9,1,37,0,2
1163971418,3089,60633088,0.99,33,2,3.5,5.0,9,11,37,0,1
1163984902,6714,211287040,0.99,0,0,0.0,0.0,17,1,40,5,1
1163993025,1642,95901696,0.0,0,0,0.0,0.0,4,1,38,5,1
1164013670,5005,146922496,0.0,612,76,4.5,4.5,4,1,37,5,1
1164046790,1614,125122560,0.0,1647,44,4.5,4.5,9,1,38,5,1
1164147984,6266,350912512,3.99,10,10,4.0,4.0,9,1,40,5,1
1164374667,1632,104137728,0.0,5,3,3.0,2.5,4,1,40,4,1
1164376202,1945,39568384,1.99,238,230,3.5,3.5,17,8,37,2,2
1164377822,2074,60770304,0.0,0,0,0.0,0.0,12,1,37,4,1
1164385183,1639,36245504,0.0,0,0,0.0,0.0,4,1,40,0,2
1164423068,1810,51673088,0.99,26,1,3.0,1.0,4,15,37,0,4
1164424437,3661,65501184,0.0,35,9,4.5,4.5,4,1,37,5,4
1164439637,4159,321210368,0.0,37,25,3.5,3.5,4,1,37,5,1
1164468822,4536,58326016,0.0,587,14,3.0,1.5,4,18,25,0,1
1164484325,6173,39067648,1.99,24,24,1.0,1.0,4,14,38,0,1
1164492728,2822,94370816,1.99,284,2,4.5,5.0,4,1,38,5,11
1164512642,4428,116524032,0.0,56,56,4.5,4.5,4,17,38,5,1
1164765952,1526,102876160,0.0,5,3,2.5,3.5,12,1,40,5,0
1164801111,354,7802880,2.99,979,368,4.5,4.5,4,13,13,0,9
1164891129,5894,167348224,2.99,3,3,3.5,3.5,4,1,37,5,13
1164956679,392,72006656,0.99,0,0,0.0,0.0,4,14,37,0,1
1165109912,5950,956569600,3.99,17,9,4.5,5.0,9,1,37,5,4
1165315677,3358,131100672,0.0,710,157,4.5,4.5,4,1,38,5,11
1165326780,6913,26492928,0.0,0,0,0.0,0.0,4,1,37,0,1
1165352759,7015,185636864,0.0,0,0,0.0,0.0,12,1,37,5,1
1165391697,1109,21992448,0.0,778,191,4.0,4.0,9,1,38,5,4
1165482016,2876,72539136,4.99,19,1,4.0,1.0,4,18,37,4,1
1165525994,3857,71370752,0.0,1421,268,4.5,5.0,4,15,25,0,36
1165924249,3260,68677632,0.0,3060,122,4.0,3.5,12,10,37,0,1
1166063194,6318,67638272,0.0,0,0,0.0,0.0,12,14,40,0,1
1166165827,5312,55424000,1.99,0,0,0.0,0.0,17,14,37,4,1
1166225107,3391,230627328,2.99,49,39,4.0,4.5,4,17,37,5,1
1166398861,6976,114686976,0.0,0,0,0.0,0.0,9,1,37,3,4
1166596707,1884,268526592,0.0,913,134,4.5,4.5,4,1,38,5,11
1166863768,1518,42499072,0.99,7,0,4.5,0.0,4,1,40,5,3
1166974799,748,81744896,0.0,228,32,1.5,1.5,4,15,37,2,1
1167445841,160,53123072,1.99,1,1,5.0,5.0,4,21,37,4,3
1167651042,1278,87374848,0.0,690,136,5.0,4.5,4,1,37,5,0
1167873588,72,102120448,0.0,0,0,0.0,0.0,17,1,40,5,1
1168110506,7012,11815936,0.0,0,0,0.0,0.0,4,1,38,0,1
1168235182,7092,187552768,0.99,0,0,0.0,0.0,9,1,38,5,1
1168304142,2717,434906112,0.0,1083,46,4.5,4.5,4,1,37,5,1
1168399577,4779,50384896,0.0,0,0,0.0,0.0,4,13,37,0,6
1168504893,6791,35679232,0.0,0,0,0.0,0.0,17,1,38,0,2
1168507191,6680,39596032,0.0,0,0,0.0,0.0,4,1,37,3,2
1168567265,3278,217378816,0.0,12,2,4.0,5.0,17,1,38,5,1
1168593601,7191,21508096,0.0,0,0,0.0,0.0,17,20,37,0,1
1168645184,4433,139482112,2.99,15,15,4.0,4.0,4,17,38,5,1
1168920959,6865,187687936,0.99,0,0,0.0,0.0,9,1,38,5,1
1168960919,2190,111412224,0.0,0,0,0.0,0.0,17,1,37,5,3
1168981143,6586,63654912,0.0,0,0,0.0,0.0,17,1,37,0,1
1169297765,1782,97917952,1.99,3,3,3.5,3.5,4,1,40,5,1
1169325682,521,24675328,0.99,0,0,0.0,0.0,4,15,37,0,2
1169417102,6506,196380672,4.99,1,1,3.0,3.0,4,1,38,5,1
1169530248,5801,133295104,0.0,35,21,3.5,3.0,4,1,37,4,1
1169545955,2661,34719744,0.0,2772,2495,3.5,3.5,4,1,37,3,1
1169836224,438,7344128,0.99,22,1,5.0,5.0,12,14,37,0,1
1169971902,2385,136347648,2.99,0,0,0.0,0.0,4,1,40,5,1
1170155524,5806,46997504,0.0,19,19,4.0,4.0,4,1,38,5,1
1170260363,5849,16411648,1.99,3,3,5.0,5.0,12,14,37,0,1
1170329495,1144,67192832,0.0,14,9,4.5,4.5,4,1,37,5,1
1170395210,4320,88484864,0.0,6,2,5.0,5.0,4,1,40,0,1
1170406182,4530,245415936,0.0,0,0,0.0,0.0,4,1,38,5,1
1170455562,7111,106102784,0.0,5,0,3.5,0.0,4,1,38,5,2
1170744152,659,6972416,0.99,14,5,3.5,4.0,4,20,37,1,1
1171015241,4439,392790016,0.99,8,0,4.0,0.0,4,1,38,5,4
1171021623,6920,31080448,0.0,0,0,0.0,0.0,4,5,37,0,2
1171039301,2612,80857088,1.99,28,5,3.0,3.5,12,8,37,0,1
1171089247,6619,290577408,0.0,0,0,0.0,0.0,9,1,38,5,1
1171093849,3253,19794944,1.99,0,0,0.0,0.0,9,11,37,3,1
1171329625,1332,144868352,0.0,0,0,0.0,0.0,4,17,38,5,12
1171330617,6887,49906688,0.99,0,0,0.0,0.0,12,1,40,5,1
1171332633,3494,61317120,0.99,24,11,5.0,5.0,9,14,37,0,1
1171367187,2801,101159936,0.0,0,0,0.0,0.0,12,10,37,0,1
1171552390,3044,69789696,1.99,223,30,5.0,5.0,9,14,37,0,1
1171558918,4840,142680064,0.0,78,78,4.0,4.0,4,1,38,5,1
1171578327,6693,187321344,0.0,1,1,5.0,5.0,9,1,38,5,1
1171635060,6944,122763264,0.0,0,0,0.0,0.0,9,1,37,5,1
1171663655,660,7025664,0.0,601,8,3.0,3.0,4,18,37,0,1
1172033149,7006,76563456,0.0,1,1,4.0,4.0,4,1,37,5,1
1172048554,6700,165749760,0.0,0,0,0.0,0.0,9,1,38,5,1
1172155464,7004,250616832,0.99,0,0,0.0,0.0,9,1,38,0,1
1172179917,4245,127227904,1.99,35,19,4.5,4.5,12,1,37,5,1
1172449400,6464,51174400,12.99,0,0,0.0,0.0,4,17,37,5,1
1172627190,2660,41964544,0.0,10,3,4.0,5.0,4,1,40,0,1
1172660336,2539,170200064,0.0,0,0,0.0,0.0,4,1,38,3,1
1172884808,2342,479346688,0.0,60,10,4.5,3.5,12,1,40,5,1
1173333213,1062,16477184,1.99,20,6,4.0,4.0,4,2,37,5,5
1173335667,7019,17112064,0.0,1,1,2.0,2.0,4,1,38,0,1
1173380979,2511,143289344,0.0,1,1,2.0,2.0,4,1,38,3,1
1173383977,6581,150490112,0.0,0,0,0.0,0.0,9,1,40,5,0
1173385518,7114,148481024,0.0,0,0,0.0,0.0,9,1,40,5,0
1173388188,6582,187419648,0.99,0,0,0.0,0.0,4,1,38,5,1
1173396715,6813,105127936,0.99,0,0,0.0,0.0,17,1,40,5,1
1173451691,2718,70244352,0.99,11,0,4.5,0.0,4,14,37,0,1
1173455771,386,37238784,3.99,0,0,0.0,0.0,4,18,37,5,1
1173642524,3324,225289216,1.99,0,0,0.0,0.0,4,1,40,5,1
1173650428,3559,183178240,0.0,61,1,5.0,5.0,12,1,37,5,1
1173688324,1933,128708608,0.0,230,230,4.5,4.5,4,1,40,5,1
1173723621,6761,151494656,0.99,0,0,0.0,0.0,9,1,40,5,1
1173806490,2659,66482176,0.0,21,10,2.0,2.5,4,1,38,4,1
1173954282,3096,4682752,0.99,35,1,2.0,5.0,4,15,37,0,1
1173990889,3095,109705216,0.0,668,87,3.0,3.0,9,1,37,4,1
1174041307,2909,162812928,0.0,537,36,4.5,4.5,12,1,37,3,1
1174233489,6892,325997568,0.0,0,0,0.0,0.0,12,1,38,5,1
1174286908,6881,45266944,0.0,0,0,0.0,0.0,9,21,37,0,1
1174307280,3587,296336384,0.0,0,0,0.0,0.0,12,1,40,5,12
1174468136,5474,23376896,2.99,10,10,4.0,4.0,12,1,38,5,1
1174489793,4740,57315328,1.99,13,13,5.0,5.0,4,1,40,4,10
1174503010,2464,64712704,0.0,41,5,4.0,4.0,4,1,37,5,1
